Date,Type,Name,Start,End,Duration
9/26/14,move,walking,2014-09-26T23:08:10-07:00,2014-09-26T23:20:40-07:00,750
9/26/14,place,Place in West University,2014-09-26T23:20:40-07:00,2014-09-26T23:21:40-07:00,60
9/26/14,move,walking,2014-09-26T23:21:40-07:00,2014-09-26T23:32:52-07:00,672
9/26/14,place,Place in Rincon Heights,2014-09-26T23:32:52-07:00,2014-09-27T00:00:00-07:00,1628
9/27/14,place,Place in Rincon Heights,2014-09-27T00:00:00-07:00,2014-09-27T13:20:31-07:00,48031
9/27/14,move,transport,2014-09-27T13:20:31-07:00,2014-09-27T13:39:45-07:00,1154
9/27/14,place,Place in Rincon Heights,2014-09-27T13:39:44-07:00,2014-09-27T22:27:45-07:00,31681
9/27/14,move,transport,2014-09-27T22:27:45-07:00,2014-09-27T22:33:19-07:00,334
9/27/14,place,Place in West University,2014-09-27T22:33:18-07:00,2014-09-27T22:45:07-07:00,709
9/27/14,move,transport,2014-09-27T22:45:07-07:00,2014-09-27T22:48:19-07:00,192
9/27/14,place,Place in Rincon Heights,2014-09-27T22:48:19-07:00,2014-09-28T00:00:00-07:00,4301
9/28/14,place,Place in Rincon Heights,2014-09-28T00:00:00-07:00,2014-09-28T14:36:56-07:00,52616
9/28/14,move,transport,2014-09-28T14:36:56-07:00,2014-09-28T14:46:52-07:00,596
9/28/14,place,Place in El Rio,2014-09-28T14:46:52-07:00,2014-09-28T15:30:15-07:00,2603
9/28/14,move,transport,2014-09-28T15:30:15-07:00,2014-09-28T15:38:20-07:00,485
9/28/14,place,Place in Rincon Heights,2014-09-28T15:38:19-07:00,2014-09-28T16:02:31-07:00,1452
9/28/14,move,transport,2014-09-28T16:02:31-07:00,2014-09-28T16:05:53-07:00,202
9/28/14,move,walking,2014-09-28T16:05:53-07:00,2014-09-28T16:07:51-07:00,118
9/28/14,place,Place in Rincon Heights,2014-09-28T16:07:51-07:00,2014-09-29T00:00:00-07:00,28329
